screen_id,row,number,type
4,e,16,regular
4,f,1,vip
4,f,2,vip
4,f,3,vip
4,f,4,vip
4,f,5,vip
4,f,6,vip
4,f,7,vip
4,f,8,vip
4,f,9,vip
4,g,1,vip
4,g,2,vip
4,g,3,vip
4,g,4,vip
4,g,5,vip
4,g,6,vip
4,g,7,vip
4,g,8,vip
4,g,9,vip
4,g,10,vip
4,g,11,vip
4,h,1,vip
4,h,2,vip
4,h,3,vip
4,h,4,vip
4,h,5,vip
4,h,6,vip
4,h,7,vip
4,h,8,vip
4,h,9,vip
4,h,10,vip
4,h,11,vip
4,i,1,royal
4,i,2,royal
4,i,3,royal
4,i,4,royal
4,i,5,royal
4,i,6,royal
4,i,7,royal
4,i,8,royal
4,i,9,royal
4,i,10,royal
4,i,11,royal
4,i,12,royal
4,i,13,royal
4,i,14,royal
5,a,1,regular
5,a,2,regular
5,a,3,regular
5,a,4,regular
5,a,5,regular
5,a,6,regular
5,a,7,regular
5,a,8,regular
5,a,9,regular
5,a,10,regular
5,a,11,regular
5,a,12,regular
5,b,1,regular
5,b,2,regular
5,b,3,couples
5,b,4,couples
5,b,5,regular
5,b,6,regular
5,b,7,regular
5,b,8,regular
5,b,9,regular
5,b,10,regular
5,b,11,regular
5,b,12,regular
5,c,1,regular
5,c,2,regular
5,c,3,regular
5,c,4,regular
5,c,5,regular
5,c,6,regular
5,c,7,couples
5,c,8,couples
5,c,9,regular
5,c,10,regular
5,c,11,regular
5,c,12,regular
5,d,1,regular
5,d,2,regular
5,d,3,regular
5,d,4,regular
5,d,5,regular
5,d,6,regular
5,d,7,regular
5,d,8,regular
5,d,9,couples
5,d,10,couples
5,d,11,regular
5,d,12,regular
5,e,1,vip
5,e,2,vip
5,e,3,vip
5,e,4,vip
5,e,5,vip
5,e,6,vip
5,e,7,vip
5,e,8,vip
5,e,9,vip
5,e,10,vip
5,f,1,vip
5,f,2,vip
5,f,3,vip
5,f,4,vip
5,f,5,vip
5,f,6,vip
5,f,7,vip
5,f,8,vip
5,f,9,vip
5,f,10,vip
5,g,1,vip
5,g,2,vip
5,g,3,vip
5,g,4,vip
5,g,5,vip
5,g,6,vip
5,g,7,vip
5,g,8,vip
5,g,9,vip
5,g,10,vip
5,h,1,royal
5,h,2,royal
5,h,3,royal
5,h,4,royal
5,h,5,royal
5,h,6,royal
5,h,7,royal
5,h,8,royal
5,h,9,royal
5,h,10,royal
5,h,11,royal
5,h,12,royal
